Lämpötila Helsingissä,Sähkönkulutus Suomessa,Tuulivoimatuotanto,Ydinvoimatuotanto,Vesivoimatuotanto,Sähköntuotanto Suomessa,"Sähköntuotanto, yli/alijäämä"
-8.79979,11876.0,888.0,4362.19999,2158.3,10967.0,92.93
-8.79979,11851.0,897.0,4365.3,2149.0,10967.0,106.59999
-8.79979,11894.0,897.0,4363.0,2156.3,10953.0,66.79999
-8.79979,11908.0,891.0,4363.0,2152.8,10930.0,71.95
-8.79979,11916.0,891.0,4361.69999,2143.19999,10924.0,63.89999
-8.79979,11912.0,885.50999,4361.8,2136.3,10926.0,67.85999
-8.79979,11899.0,873.0,4359.8,2130.3,10921.0,72.64
-8.79979,11927.0,876.0,4361.3,2136.69999,10913.0,48.90999
-8.79979,11941.0,881.00999,4359.19999,2133.8,10916.0,48.89
-8.79979,11950.0,886.0,4360.0,2138.8,10934.0,44.78999
-9.31969,11915.0,895.0,4362.3,2136.8,10942.0,92.71999
-9.31969,11940.0,898.48,4361.3,2167.3,10982.0,94.98
-9.31969,11942.0,902.0,4359.0,2168.19999,10975.0,84.81
-9.31969,11953.0,902.0,4361.0,2158.3,10970.0,83.17
-9.31969,11949.0,910.0,4363.0,2155.9,10973.0,78.23999
-9.31969,11915.0,904.0,4360.3,2146.5,10959.0,104.4
-9.8345,11903.0,904.0,4360.3,2153.5,10961.0,126.3
-9.8345,11880.0,901.0,4359.8,2157.0,10961.0,145.9
-9.8345,11888.0,905.0,4357.3,2154.5,10956.0,131.3
-9.8495,11943.0,899.03999,4360.0,2153.0,10974.0,109.8
-10.38,11948.0,895.50999,4361.19999,2155.5,10978.0,107.4
-10.38,11951.0,885.0,4361.8,2162.3,10974.0,98.26
-10.38,11943.0,885.0,4364.19999,2169.0,11009.0,135.5
-10.38,11977.0,882.49,4357.5,2168.3,11005.0,-117.5
-10.38,11942.0,892.0,4359.5,2179.0,11021.0,-77.09999
-10.38,11969.0,903.99,4360.3,2201.8,11058.0,-48.89
-10.38,11999.0,919.0,4358.5,2203.19999,11114.0,-18.57999
-11.037,11979.0,913.0,4361.19999,2209.69999,11134.0,-12.92
-11.037,12005.0,913.0,4359.8,2221.69999,11132.0,-20.19999
-11.037,11986.0,913.0,4362.3,2226.3,11136.0,-11.18999
-11.226,11985.0,905.0,4360.3,2225.3,11124.0,-8.56199
-11.567,11970.0,914.0,4362.69999,2226.8,11147.0,16.28999
-11.567,11989.0,922.0,4358.19999,2228.3,11163.0,-10.41
-11.567,11950.0,928.0,4359.8,2224.5,11178.0,43.06
-11.567,11971.0,936.0,4363.8,2229.8,11201.0,39.64999
-11.805,11982.0,940.49,4360.69999,2229.3,11193.0,21.96999
-12.12299,11969.0,945.0,4357.69999,2220.8,11177.0,44.96999
-12.12299,11960.0,953.0,4362.19999,2226.69999,11169.0,28.62
-12.12299,11972.0,949.0,4361.3,2218.69999,11163.0,34.5
-12.12299,11947.0,949.0,4361.19999,2209.0,11158.0,47.1
-12.12299,11949.0,943.0,4362.8,2217.19999,11174.0,65.56
-12.12299,11912.0,934.49,4361.3,2228.8,11165.0,104.3
-12.12299,11904.0,946.0,4358.69999,2241.69999,11179.0,118.59999
-12.12299,11889.0,946.0,4359.5,2246.19999,11182.0,-354.6
-12.12299,11889.0,972.99,4360.0,2241.3,11209.0,-241.5
-12.71899,11919.0,983.0,4361.8,2233.3,11242.0,-127.59999
-12.71899,11884.0,997.49,4359.0,2231.3,11252.0,5.607
-12.71899,11929.0,1011.0,4358.3,2227.5,11259.0,13.94999
-12.71899,11902.0,1023.0,4359.0,2226.0,11249.0,28.66
-12.71899,11885.0,1036.0,4361.69999,2222.5,11260.0,49.93999
-12.71899,11885.0,1036.0,4362.19999,2216.69999,11248.0,44.77
-12.71899,11878.0,1034.0,4358.0,2220.0,11241.0,52.86999
-12.71899,11836.0,1045.5,4358.3,2215.8,11245.0,78.9
-12.71899,11826.0,1049.0,4359.69999,2207.19999,11249.0,94.65
-12.71899,11842.0,1048.0,4363.0,2205.3,11261.0,86.53
-12.71899,11839.0,1047.0,4363.0,2200.3,11258.0,71.06
-13.58,11820.0,1042.5,4360.0,2195.19999,11233.0,83.4
-13.58,11799.0,1036.0,4363.19999,2190.0,11235.0,78.10999
-13.58,11811.0,1046.0,4363.0,2185.0,11240.0,72.98
-13.58,11795.0,1046.0,4361.5,2181.0,11239.0,95.98999
-13.58,11782.0,1053.0,4359.8,2172.3,11257.0,129.5
-13.58,11775.0,1062.5,4360.19999,2175.19999,11273.0,141.19999
-13.58,11751.0,1059.0,4359.19999,2189.5,11280.0,190.9
-13.58,11744.0,1062.0,4360.0,2198.8,11280.0,335.3
-13.58,11686.0,1062.0,4361.19999,2253.69999,11316.0,335.1
-13.551,11706.0,1048.0,4362.3,2255.0,11307.0,270.6
-13.005,11681.0,1039.0,4362.0,2238.5,11284.0,250.9
-13.005,11689.0,1020.0,4364.3,2226.3,11245.0,213.0
-13.005,11695.0,1002.0,4363.0,2237.69999,11222.0,182.9
-13.005,11689.0,986.50999,4359.69999,2233.5,11201.0,178.3
-13.005,11685.0,972.0,4363.0,2226.0,11185.0,171.0
-12.49,11666.0,986.95,4358.19999,2218.5,11193.0,212.09999
-12.49,11602.0,994.0,4357.0,2209.69999,11169.0,222.5
-12.49,11577.0,1002.0,4362.5,2192.8,11154.0,228.69999
-12.49,11585.0,1014.0,4362.0,2190.69999,11149.0,226.0
-12.49,11603.0,1037.4,4364.69999,2182.0,11186.0,252.5
-12.49,11599.0,1057.0,4364.69999,2174.19999,11215.0,273.3
-11.924,11557.0,1072.0,4363.19999,2164.19999,11194.0,299.19999
-11.924,11514.0,1072.0,4363.8,2166.8,11166.0,326.39999
-11.924,11481.0,1078.0,4362.69999,2175.8,11173.0,368.6
-11.924,11444.0,1086.0,4364.0,2174.69999,11161.0,380.5
-11.924,11453.0,1080.0,4365.0,2167.8,11152.0,378.39999
