Viim.,Avoin,Korkea,Matala,Vol.
5631.82,5651.42,5651.57,5492.02,82640000
5513.07,5590.69,5653.87,5485.53,54950000
5513.0,5491.26,5671.26,5491.26,79410000
5263.79,5508.66,5509.02,5264.95,98070000
5245.49,5270.97,5333.11,5183.59,107410000
5267.76,5247.28,5312.72,5167.2,120100000
5118.0,5254.12,5324.05,5110.07,85710000
4979.01,5127.6,5152.39,4895.18,120030000
5162.57,5008.75,5236.89,4967.71,128060000
5429.19,5142.92,5467.82,5142.92,137570000
5424.18,5458.98,5482.99,5383.92,110990000
5200.23,5474.61,5474.61,5081.46,114550000
5301.75,5191.83,5277.84,5170.84,96830000
5457.82,5257.98,5458.9,5257.98,112360000
5273.51,5422.77,5426.67,5291.64,112470000
5181.84,5330.17,5332.71,5148.91,98160000
5151.45,5175.56,5177.38,5045.63,79640000
5063.23,5109.93,5174.33,5064.14,95630000
5038.32,5064.14,5137.45,4989.49,99430000
5197.58,5070.47,5171.16,4994.24,108840000
5436.76,5167.08,5444.54,5167.08,130200000
5437.16,5429.62,5485.15,5368.98,74980000
5791.2,5400.48,5754.61,5400.44,146290000
5571.47,5754.61,5808.01,5560.38,158140000
6001.04,5586.81,5996.08,5586.47,235550000
6043.77,5957.96,6072.38,5854.75,137150000
6017.74,5993.56,6097.76,5879.13,99160000
5991.08,5954.39,6084.65,5935.27,118340000
5890.48,6042.53,6098.15,5862.14,102310000
6081.53,5864.46,6094.46,5855.28,104780000
6085.56,6074.99,6084.58,5935.95,96730000
6167.93,6011.16,6212.83,6011.16,91730000
5879.67,6148.25,6156.9,5830.54,106140000
6047.97,5860.65,5972.89,5860.64,80710000
6048.64,5954.26,6104.6,5954.26,90420000
5993.44,6088.96,6090.04,5865.3,73210000
6295.81,5933.78,6251.24,5932.67,106580000
6289.64,6245.35,6286.47,6120.1,109240000
6110.9,6270.14,6359.98,6125.23,106890000
6068.76,6143.81,6244.68,6031.59,105660000
5968.53,6036.71,6152.37,5930.68,107500000
5799.42,5952.36,5963.53,5782.38,102420000
5943.6,5800.78,5924.99,5797.4,106880000
6084.87,5915.23,6059.98,5915.23,88870000
