Started journeys,Avg. covered distance (m),Avg. duration (sec.)
19,3419.0173684210527,829.9473684210526
15,2629.0,740.0666666666667
32,2704.0,718.21875
37,2840.4324324324325,725.1621621621622
35,2390.8571428571427,668.9142857142857
33,2518.5757575757575,698.1515151515151
39,2471.641025641026,680.5128205128206
48,2393.4166666666665,691.1041666666666
51,2337.1372549019607,639.2745098039215
54,2608.203703703704,1349.1851851851852
74,2493.891891891892,713.1891891891892
56,2204.25,642.9821428571429
57,2425.0175438596493,651.0877192982456
60,2033.9,626.0166666666667
60,2015.3333333333333,726.9666666666667
73,2086.3150684931506,1455.7397260273972
58,2474.1206896551726,785.3793103448276
73,2365.027397260274,868.1643835616438
67,2539.89552238806,755.3582089552239
66,2403.6666666666665,641.6060606060606
70,2263.657142857143,688.6571428571428
68,2618.3382352941176,716.6617647058823
